,state,State Name,disease,Number of Hepatitis Cases,"Hepatitis Incidence Per 100,000 People",year,number_week
62,MD,MARYLAND,HEPATITIS A,10,0.27,1966,02
63,ME,MAINE,HEPATITIS A,17,1.7,1966,02
64,MI,MICHIGAN,HEPATITIS A,47,0.55,1966,02
65,MN,MINNESOTA,HEPATITIS A,3,0.08,1966,02
66,MO,MISSOURI,HEPATITIS A,5,0.11,1966,02
67,MS,MISSISSIPPI,HEPATITIS A,9,0.4,1966,02
68,NC,NORTH CAROLINA,HEPATITIS A,14,0.29,1966,02
69,ND,NORTH DAKOTA,HEPATITIS A,1,0.15,1966,02
70,NH,NEW HAMPSHIRE,HEPATITIS A,1,0.15,1966,02
71,NJ,NEW JERSEY,HEPATITIS A,25,0.36,1966,02
72,NM,NEW MEXICO,HEPATITIS A,15,1.49,1966,02
73,NV,NEVADA,HEPATITIS A,4,0.9,1966,02
74,NY,NEW YORK,HEPATITIS A,74,0.41,1966,02
75,OH,OHIO,HEPATITIS A,25,0.24,1966,02
76,OR,OREGON,HEPATITIS A,19,0.96,1966,02
77,PA,PENNSYLVANIA,HEPATITIS A,38,0.33,1966,02
78,SC,SOUTH CAROLINA,HEPATITIS A,2,0.08,1966,02
79,TN,TENNESSEE,HEPATITIS A,32,0.84,1966,02
80,TX,TEXAS,HEPATITIS A,40,0.38,1966,02
81,UT,UTAH,HEPATITIS A,4,0.4,1966,02
82,VA,VIRGINIA,HEPATITIS A,12,0.27,1966,02
83,WA,WASHINGTON,HEPATITIS A,9,0.29,1966,02
84,WI,WISCONSIN,HEPATITIS A,9,0.21,1966,02
85,WV,WEST VIRGINIA,HEPATITIS A,4,0.23,1966,02
86,AL,ALABAMA,HEPATITIS A,2,0.06,1966,03
87,AR,ARKANSAS,HEPATITIS A,2,0.11,1966,03
88,AZ,ARIZONA,HEPATITIS A,9,0.56,1966,03
89,CA,CALIFORNIA,HEPATITIS A,98,0.52,1966,03
90,CT,CONNECTICUT,HEPATITIS A,5,0.17,1966,03
91,DE,DELAWARE,HEPATITIS A,2,0.39,1966,03
92,FL,FLORIDA,HEPATITIS A,18,0.29,1966,03
93,HI,HAWAII,HEPATITIS A,2,0.28,1966,03
94,IA,IOWA,HEPATITIS A,4,0.14,1966,03
95,IL,ILLINOIS,HEPATITIS A,24,0.22,1966,03
96,IN,INDIANA,HEPATITIS A,10,0.2,1966,03
97,KS,KANSAS,HEPATITIS A,8,0.36,1966,03
98,KY,KENTUCKY,HEPATITIS A,17,0.54,1966,03
99,LA,LOUISIANA,HEPATITIS A,10,0.28,1966,03
100,MA,MASSACHUSETTS,HEPATITIS A,17,0.31,1966,03
101,MD,MARYLAND,HEPATITIS A,6,0.16,1966,03
102,ME,MAINE,HEPATITIS A,14,1.4,1966,03
103,MI,MICHIGAN,HEPATITIS A,71,0.83,1966,03
104,MN,MINNESOTA,HEPATITIS A,2,0.06,1966,03
105,MO,MISSOURI,HEPATITIS A,5,0.11,1966,03
106,MS,MISSISSIPPI,HEPATITIS A,4,0.18,1966,03
107,MT,MONTANA,HEPATITIS A,2,0.28,1966,03
108,NC,NORTH CAROLINA,HEPATITIS A,13,0.27,1966,03
109,NE,NEBRASKA,HEPATITIS A,4,0.27,1966,03
110,NJ,NEW JERSEY,HEPATITIS A,10,0.15,1966,03
111,NM,NEW MEXICO,HEPATITIS A,13,1.29,1966,03
112,NV,NEVADA,HEPATITIS A,1,0.22,1966,03
113,NY,NEW YORK,HEPATITIS A,47,0.26,1966,03
114,OH,OHIO,HEPATITIS A,23,0.22,1966,03
115,OK,OKLAHOMA,HEPATITIS A,1,0.04,1966,03
116,OR,OREGON,HEPATITIS A,14,0.71,1966,03
117,PA,PENNSYLVANIA,HEPATITIS A,39,0.33,1966,03
118,RI,RHODE ISLAND,HEPATITIS A,1,0.11,1966,03
119,SC,SOUTH CAROLINA,HEPATITIS A,1,0.04,1966,03
120,TN,TENNESSEE,HEPATITIS A,39,1.02,1966,03
121,TX,TEXAS,HEPATITIS A,51,0.49,1966,03
122,UT,UTAH,HEPATITIS A,6,0.59,1966,03
123,VA,VIRGINIA,HEPATITIS A,14,0.31,1966,03
124,WA,WASHINGTON,HEPATITIS A,9,0.29,1966,03
125,WI,WISCONSIN,HEPATITIS A,10,0.23,1966,03
126,WV,WEST VIRGINIA,HEPATITIS A,3,0.17,1966,03
127,WY,WYOMING,HEPATITIS A,1,0.31,1966,03
128,AK,ALASKA,HEPATITIS A,1,0.37,1966,04
129,AL,ALABAMA,HEPATITIS A,4,0.12,1966,04
130,AR,ARKANSAS,HEPATITIS A,9,0.47,1966,04
131,AZ,ARIZONA,HEPATITIS A,18,1.12,1966,04
132,CA,CALIFORNIA,HEPATITIS A,132,0.7,1966,04
133,CO,COLORADO,HEPATITIS A,5,0.25,1966,04
134,CT,CONNECTICUT,HEPATITIS A,4,0.14,1966,04
135,DE,DELAWARE,HEPATITIS A,1,0.19,1966,04
136,FL,FLORIDA,HEPATITIS A,11,0.18,1966,04
137,GA,GEORGIA,HEPATITIS A,2,0.05,1966,04
138,IA,IOWA,HEPATITIS A,2,0.07,1966,04
139,ID,IDAHO,HEPATITIS A,1,0.15,1966,04
140,IL,ILLINOIS,HEPATITIS A,33,0.3,1966,04
141,IN,INDIANA,HEPATITIS A,19,0.38,1966,04
142,KS,KANSAS,HEPATITIS A,3,0.14,1966,04
143,KY,KENTUCKY,HEPATITIS A,18,0.57,1966,04
144,LA,LOUISIANA,HEPATITIS A,5,0.14,1966,04
145,MA,MASSACHUSETTS,HEPATITIS A,18,0.33,1966,04
146,MD,MARYLAND,HEPATITIS A,8,0.22,1966,04
147,ME,MAINE,HEPATITIS A,7,0.7,1966,04
148,MI,MICHIGAN,HEPATITIS A,71,0.83,1966,04
149,MN,MINNESOTA,HEPATITIS A,11,0.3,1966,04
150,MO,MISSOURI,HEPATITIS A,6,0.13,1966,04
151,MS,MISSISSIPPI,HEPATITIS A,11,0.49,1966,04
152,NC,NORTH CAROLINA,HEPATITIS A,11,0.22,1966,04
153,ND,NORTH DAKOTA,HEPATITIS A,1,0.15,1966,04
154,NH,NEW HAMPSHIRE,HEPATITIS A,2,0.29,1966,04
155,NJ,NEW JERSEY,HEPATITIS A,18,0.26,1966,04
156,NM,NEW MEXICO,HEPATITIS A,21,2.09,1966,04
157,NY,NEW YORK,HEPATITIS A,71,0.4,1966,04
158,OH,OHIO,HEPATITIS A,29,0.28,1966,04
159,OR,OREGON,HEPATITIS A,21,1.07,1966,04
160,PA,PENNSYLVANIA,HEPATITIS A,66,0.57,1966,04
161,RI,RHODE ISLAND,HEPATITIS A,4,0.44,1966,04
162,SC,SOUTH CAROLINA,HEPATITIS A,3,0.12,1966,04
163,SD,SOUTH DAKOTA,HEPATITIS A,1,0.15,1966,04
164,TN,TENNESSEE,HEPATITIS A,26,0.68,1966,04
165,TX,TEXAS,HEPATITIS A,41,0.39,1966,04
166,UT,UTAH,HEPATITIS A,19,1.88,1966,04
167,VA,VIRGINIA,HEPATITIS A,10,0.22,1966,04
168,WA,WASHINGTON,HEPATITIS A,6,0.2,1966,04
169,WI,WISCONSIN,HEPATITIS A,3,0.07,1966,04
170,WV,WEST VIRGINIA,HEPATITIS A,9,0.51,1966,04
171,WY,WYOMING,HEPATITIS A,2,0.62,1966,04
172,AK,ALASKA,HEPATITIS A,1,0.37,1966,05
173,AL,ALABAMA,HEPATITIS A,7,0.2,1966,05
174,AR,ARKANSAS,HEPATITIS A,9,0.47,1966,05
175,AZ,ARIZONA,HEPATITIS A,12,0.74,1966,05
176,CA,CALIFORNIA,HEPATITIS A,130,0.69,1966,05
177,CO,COLORADO,HEPATITIS A,7,0.35,1966,05
178,CT,CONNECTICUT,HEPATITIS A,1,0.03,1966,05
179,DE,DELAWARE,HEPATITIS A,2,0.39,1966,05
180,FL,FLORIDA,HEPATITIS A,18,0.29,1966,05
181,IA,IOWA,HEPATITIS A,21,0.76,1966,05
182,ID,IDAHO,HEPATITIS A,5,0.73,1966,05
183,IL,ILLINOIS,HEPATITIS A,30,0.28,1966,05
184,IN,INDIANA,HEPATITIS A,15,0.3,1966,05
185,KS,KANSAS,HEPATITIS A,9,0.41,1966,05
186,KY,KENTUCKY,HEPATITIS A,44,1.4,1966,05
187,LA,LOUISIANA,HEPATITIS A,9,0.25,1966,05
188,MA,MASSACHUSETTS,HEPATITIS A,13,0.23,1966,05
189,MD,MARYLAND,HEPATITIS A,7,0.19,1966,05
190,ME,MAINE,HEPATITIS A,4,0.4,1966,05
191,MI,MICHIGAN,HEPATITIS A,50,0.59,1966,05
192,MN,MINNESOTA,HEPATITIS A,13,0.36,1966,05
193,MO,MISSOURI,HEPATITIS A,5,0.11,1966,05
194,MS,MISSISSIPPI,HEPATITIS A,10,0.45,1966,05
195,MT,MONTANA,HEPATITIS A,1,0.14,1966,05
196,NC,NORTH CAROLINA,HEPATITIS A,9,0.18,1966,05
197,ND,NORTH DAKOTA,HEPATITIS A,2,0.31,1966,05
198,NJ,NEW JERSEY,HEPATITIS A,15,0.22,1966,05
199,NM,NEW MEXICO,HEPATITIS A,23,2.28,1966,05
200,NV,NEVADA,HEPATITIS A,2,0.45,1966,05
201,NY,NEW YORK,HEPATITIS A,44,0.25,1966,05
202,OH,OHIO,HEPATITIS A,45,0.44,1966,05
203,OK,OKLAHOMA,HEPATITIS A,1,0.04,1966,05
204,OR,OREGON,HEPATITIS A,24,1.22,1966,05
205,PA,PENNSYLVANIA,HEPATITIS A,30,0.26,1966,05
206,RI,RHODE ISLAND,HEPATITIS A,1,0.11,1966,05
207,SC,SOUTH CAROLINA,HEPATITIS A,2,0.08,1966,05
208,TN,TENNESSEE,HEPATITIS A,19,0.5,1966,05
209,TX,TEXAS,HEPATITIS A,39,0.37,1966,05
210,UT,UTAH,HEPATITIS A,1,0.1,1966,05
211,VA,VIRGINIA,HEPATITIS A,29,0.65,1966,05
212,VT,VERMONT,HEPATITIS A,1,0.24,1966,05
213,WA,WASHINGTON,HEPATITIS A,13,0.43,1966,05
214,WI,WISCONSIN,HEPATITIS A,5,0.12,1966,05
215,WV,WEST VIRGINIA,HEPATITIS A,4,0.23,1966,05
216,AK,ALASKA,HEPATITIS A,1,0.37,1966,06
217,AL,ALABAMA,HEPATITIS A,4,0.12,1966,06
218,AR,ARKANSAS,HEPATITIS A,8,0.42,1966,06
219,AZ,ARIZONA,HEPATITIS A,9,0.56,1966,06
220,CA,CALIFORNIA,HEPATITIS A,143,0.76,1966,06
221,CO,COLORADO,HEPATITIS A,15,0.75,1966,06
222,CT,CONNECTICUT,HEPATITIS A,1,0.03,1966,06
223,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.13,1966,06
224,DE,DELAWARE,HEPATITIS A,1,0.19,1966,06
225,FL,FLORIDA,HEPATITIS A,12,0.2,1966,06
226,IA,IOWA,HEPATITIS A,4,0.14,1966,06
227,IL,ILLINOIS,HEPATITIS A,24,0.22,1966,06
228,IN,INDIANA,HEPATITIS A,14,0.28,1966,06
229,KS,KANSAS,HEPATITIS A,9,0.41,1966,06
230,KY,KENTUCKY,HEPATITIS A,26,0.83,1966,06
231,LA,LOUISIANA,HEPATITIS A,6,0.17,1966,06
232,MA,MASSACHUSETTS,HEPATITIS A,8,0.14,1966,06
233,MD,MARYLAND,HEPATITIS A,16,0.43,1966,06
234,ME,MAINE,HEPATITIS A,10,1.0,1966,06
235,MI,MICHIGAN,HEPATITIS A,46,0.54,1966,06
236,MN,MINNESOTA,HEPATITIS A,9,0.25,1966,06
237,MO,MISSOURI,HEPATITIS A,6,0.13,1966,06
238,MS,MISSISSIPPI,HEPATITIS A,9,0.4,1966,06
239,MT,MONTANA,HEPATITIS A,3,0.42,1966,06
240,NC,NORTH CAROLINA,HEPATITIS A,13,0.27,1966,06
241,ND,NORTH DAKOTA,HEPATITIS A,1,0.15,1966,06
242,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.44,1966,06
243,NJ,NEW JERSEY,HEPATITIS A,14,0.2,1966,06
244,NM,NEW MEXICO,HEPATITIS A,13,1.29,1966,06
245,NY,NEW YORK,HEPATITIS A,46,0.26,1966,06
246,OH,OHIO,HEPATITIS A,30,0.29,1966,06
247,OK,OKLAHOMA,HEPATITIS A,4,0.16,1966,06
248,OR,OREGON,HEPATITIS A,29,1.47,1966,06
249,PA,PENNSYLVANIA,HEPATITIS A,44,0.38,1966,06
250,RI,RHODE ISLAND,HEPATITIS A,8,0.89,1966,06
251,SC,SOUTH CAROLINA,HEPATITIS A,1,0.04,1966,06
252,TN,TENNESSEE,HEPATITIS A,27,0.71,1966,06
253,TX,TEXAS,HEPATITIS A,46,0.44,1966,06
254,UT,UTAH,HEPATITIS A,4,0.4,1966,06
255,VA,VIRGINIA,HEPATITIS A,9,0.2,1966,06
256,WA,WASHINGTON,HEPATITIS A,18,0.59,1966,06
257,WI,WISCONSIN,HEPATITIS A,7,0.16,1966,06
258,WV,WEST VIRGINIA,HEPATITIS A,6,0.34,1966,06
259,WY,WYOMING,HEPATITIS A,2,0.62,1966,06
260,AK,ALASKA,HEPATITIS A,3,1.11,1966,07
261,AR,ARKANSAS,HEPATITIS A,6,0.32,1966,07
262,AZ,ARIZONA,HEPATITIS A,8,0.5,1966,07
263,CA,CALIFORNIA,HEPATITIS A,149,0.79,1966,07
264,CO,COLORADO,HEPATITIS A,8,0.4,1966,07
265,CT,CONNECTICUT,HEPATITIS A,4,0.14,1966,07
266,DE,DELAWARE,HEPATITIS A,2,0.39,1966,07
267,FL,FLORIDA,HEPATITIS A,11,0.18,1966,07
268,GA,GEORGIA,HEPATITIS A,3,0.07,1966,07
269,HI,HAWAII,HEPATITIS A,2,0.28,1966,07
270,IA,IOWA,HEPATITIS A,4,0.14,1966,07
271,ID,IDAHO,HEPATITIS A,5,0.73,1966,07
272,IL,ILLINOIS,HEPATITIS A,18,0.17,1966,07
273,IN,INDIANA,HEPATITIS A,10,0.2,1966,07
274,KS,KANSAS,HEPATITIS A,3,0.14,1966,07
275,KY,KENTUCKY,HEPATITIS A,20,0.64,1966,07
276,LA,LOUISIANA,HEPATITIS A,9,0.25,1966,07
277,MA,MASSACHUSETTS,HEPATITIS A,6,0.11,1966,07
278,MD,MARYLAND,HEPATITIS A,20,0.54,1966,07
279,ME,MAINE,HEPATITIS A,6,0.6,1966,07
280,MI,MICHIGAN,HEPATITIS A,81,0.95,1966,07
281,MN,MINNESOTA,HEPATITIS A,4,0.11,1966,07
282,MO,MISSOURI,HEPATITIS A,29,0.64,1966,07
283,MS,MISSISSIPPI,HEPATITIS A,8,0.36,1966,07
284,NC,NORTH CAROLINA,HEPATITIS A,7,0.14,1966,07
285,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.44,1966,07
286,NJ,NEW JERSEY,HEPATITIS A,12,0.18,1966,07
287,NM,NEW MEXICO,HEPATITIS A,20,1.99,1966,07
288,NY,NEW YORK,HEPATITIS A,57,0.32,1966,07
289,OH,OHIO,HEPATITIS A,27,0.26,1966,07
290,OR,OREGON,HEPATITIS A,9,0.46,1966,07
291,PA,PENNSYLVANIA,HEPATITIS A,36,0.31,1966,07
292,SC,SOUTH CAROLINA,HEPATITIS A,4,0.16,1966,07
293,SD,SOUTH DAKOTA,HEPATITIS A,2,0.29,1966,07
294,TN,TENNESSEE,HEPATITIS A,23,0.6,1966,07
295,TX,TEXAS,HEPATITIS A,36,0.34,1966,07
296,UT,UTAH,HEPATITIS A,7,0.69,1966,07
297,VA,VIRGINIA,HEPATITIS A,15,0.34,1966,07
298,VT,VERMONT,HEPATITIS A,2,0.48,1966,07
299,WA,WASHINGTON,HEPATITIS A,10,0.33,1966,07
300,WI,WISCONSIN,HEPATITIS A,11,0.26,1966,07
301,WV,WEST VIRGINIA,HEPATITIS A,15,0.85,1966,07
302,WY,WYOMING,HEPATITIS A,3,0.93,1966,07
303,AL,ALABAMA,HEPATITIS A,16,0.46,1966,08
304,AR,ARKANSAS,HEPATITIS A,7,0.37,1966,08
305,AZ,ARIZONA,HEPATITIS A,12,0.74,1966,08
306,CA,CALIFORNIA,HEPATITIS A,101,0.54,1966,08
307,CO,COLORADO,HEPATITIS A,11,0.55,1966,08
308,CT,CONNECTICUT,HEPATITIS A,9,0.31,1966,08
309,DE,DELAWARE,HEPATITIS A,1,0.19,1966,08
310,FL,FLORIDA,HEPATITIS A,19,0.31,1966,08
311,GA,GEORGIA,HEPATITIS A,5,0.11,1966,08
312,IA,IOWA,HEPATITIS A,6,0.22,1966,08
313,ID,IDAHO,HEPATITIS A,3,0.44,1966,08
314,IL,ILLINOIS,HEPATITIS A,17,0.16,1966,08
315,IN,INDIANA,HEPATITIS A,10,0.2,1966,08
316,KS,KANSAS,HEPATITIS A,4,0.18,1966,08
317,KY,KENTUCKY,HEPATITIS A,81,2.57,1966,08
318,LA,LOUISIANA,HEPATITIS A,6,0.17,1966,08
319,MA,MASSACHUSETTS,HEPATITIS A,6,0.11,1966,08
320,MD,MARYLAND,HEPATITIS A,9,0.24,1966,08
321,ME,MAINE,HEPATITIS A,8,0.8,1966,08
322,MI,MICHIGAN,HEPATITIS A,64,0.75,1966,08
323,MN,MINNESOTA,HEPATITIS A,15,0.41,1966,08
324,MO,MISSOURI,HEPATITIS A,66,1.46,1966,08
325,MS,MISSISSIPPI,HEPATITIS A,3,0.13,1966,08
326,NC,NORTH CAROLINA,HEPATITIS A,8,0.16,1966,08
327,NH,NEW HAMPSHIRE,HEPATITIS A,1,0.15,1966,08
328,NJ,NEW JERSEY,HEPATITIS A,6,0.09,1966,08
329,NM,NEW MEXICO,HEPATITIS A,15,1.49,1966,08
330,NY,NEW YORK,HEPATITIS A,39,0.22,1966,08
331,OH,OHIO,HEPATITIS A,43,0.42,1966,08
332,OK,OKLAHOMA,HEPATITIS A,1,0.04,1966,08
333,OR,OREGON,HEPATITIS A,14,0.71,1966,08
334,PA,PENNSYLVANIA,HEPATITIS A,54,0.46,1966,08
335,SD,SOUTH DAKOTA,HEPATITIS A,1,0.15,1966,08
336,TN,TENNESSEE,HEPATITIS A,19,0.5,1966,08
337,TX,TEXAS,HEPATITIS A,36,0.34,1966,08
338,UT,UTAH,HEPATITIS A,5,0.5,1966,08
339,VA,VIRGINIA,HEPATITIS A,16,0.36,1966,08
340,WA,WASHINGTON,HEPATITIS A,11,0.36,1966,08
341,WI,WISCONSIN,HEPATITIS A,10,0.23,1966,08
342,WV,WEST VIRGINIA,HEPATITIS A,6,0.34,1966,08
343,AK,ALASKA,HEPATITIS A,2,0.74,1966,09
344,AL,ALABAMA,HEPATITIS A,3,0.09,1966,09
345,AR,ARKANSAS,HEPATITIS A,8,0.42,1966,09
346,AZ,ARIZONA,HEPATITIS A,6,0.37,1966,09
347,CA,CALIFORNIA,HEPATITIS A,101,0.54,1966,09
348,CO,COLORADO,HEPATITIS A,8,0.4,1966,09
349,CT,CONNECTICUT,HEPATITIS A,1,0.03,1966,09
350,FL,FLORIDA,HEPATITIS A,22,0.36,1966,09
351,GA,GEORGIA,HEPATITIS A,3,0.07,1966,09
352,IA,IOWA,HEPATITIS A,15,0.54,1966,09
353,ID,IDAHO,HEPATITIS A,1,0.15,1966,09
354,IL,ILLINOIS,HEPATITIS A,47,0.43,1966,09
355,IN,INDIANA,HEPATITIS A,7,0.14,1966,09
356,KS,KANSAS,HEPATITIS A,1,0.05,1966,09
357,KY,KENTUCKY,HEPATITIS A,47,1.49,1966,09
358,LA,LOUISIANA,HEPATITIS A,11,0.31,1966,09
359,MA,MASSACHUSETTS,HEPATITIS A,8,0.14,1966,09
360,MD,MARYLAND,HEPATITIS A,18,0.49,1966,09
361,ME,MAINE,HEPATITIS A,9,0.9,1966,09
362,MI,MICHIGAN,HEPATITIS A,115,1.35,1966,09
363,MN,MINNESOTA,HEPATITIS A,5,0.14,1966,09
364,MO,MISSOURI,HEPATITIS A,16,0.35,1966,09
365,MS,MISSISSIPPI,HEPATITIS A,6,0.27,1966,09
366,MT,MONTANA,HEPATITIS A,4,0.57,1966,09
367,NC,NORTH CAROLINA,HEPATITIS A,11,0.22,1966,09
368,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.44,1966,09
369,NJ,NEW JERSEY,HEPATITIS A,19,0.28,1966,09
370,NM,NEW MEXICO,HEPATITIS A,7,0.7,1966,09
371,NY,NEW YORK,HEPATITIS A,50,0.28,1966,09
372,OH,OHIO,HEPATITIS A,36,0.35,1966,09
373,OR,OREGON,HEPATITIS A,10,0.51,1966,09
374,PA,PENNSYLVANIA,HEPATITIS A,50,0.43,1966,09
375,RI,RHODE ISLAND,HEPATITIS A,2,0.22,1966,09
376,SC,SOUTH CAROLINA,HEPATITIS A,2,0.08,1966,09
377,TN,TENNESSEE,HEPATITIS A,28,0.73,1966,09
378,TX,TEXAS,HEPATITIS A,51,0.49,1966,09
379,UT,UTAH,HEPATITIS A,2,0.2,1966,09
380,VA,VIRGINIA,HEPATITIS A,22,0.49,1966,09
381,VT,VERMONT,HEPATITIS A,2,0.48,1966,09
382,WA,WASHINGTON,HEPATITIS A,5,0.16,1966,09
383,WI,WISCONSIN,HEPATITIS A,8,0.19,1966,09
384,WV,WEST VIRGINIA,HEPATITIS A,6,0.34,1966,09
385,WY,WYOMING,HEPATITIS A,4,1.24,1966,09
386,AK,ALASKA,HEPATITIS A,11,4.06,1966,10
387,AL,ALABAMA,HEPATITIS A,14,0.4,1966,10
388,AR,ARKANSAS,HEPATITIS A,9,0.47,1966,10
389,AZ,ARIZONA,HEPATITIS A,7,0.43,1966,10
390,CA,CALIFORNIA,HEPATITIS A,106,0.56,1966,10
391,CO,COLORADO,HEPATITIS A,14,0.7,1966,10
392,CT,CONNECTICUT,HEPATITIS A,3,0.1,1966,10
393,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.13,1966,10
394,FL,FLORIDA,HEPATITIS A,20,0.33,1966,10
395,GA,GEORGIA,HEPATITIS A,3,0.07,1966,10
396,HI,HAWAII,HEPATITIS A,1,0.14,1966,10
397,IA,IOWA,HEPATITIS A,10,0.36,1966,10
398,ID,IDAHO,HEPATITIS A,4,0.58,1966,10
399,IL,ILLINOIS,HEPATITIS A,22,0.2,1966,10
400,IN,INDIANA,HEPATITIS A,12,0.24,1966,10
401,KS,KANSAS,HEPATITIS A,4,0.18,1966,10
402,KY,KENTUCKY,HEPATITIS A,32,1.02,1966,10
403,LA,LOUISIANA,HEPATITIS A,7,0.2,1966,10
404,MA,MASSACHUSETTS,HEPATITIS A,10,0.18,1966,10
405,MD,MARYLAND,HEPATITIS A,23,0.62,1966,10
406,ME,MAINE,HEPATITIS A,3,0.3,1966,10
407,MI,MICHIGAN,HEPATITIS A,80,0.94,1966,10
408,MN,MINNESOTA,HEPATITIS A,9,0.25,1966,10
409,MO,MISSOURI,HEPATITIS A,13,0.29,1966,10
410,MS,MISSISSIPPI,HEPATITIS A,5,0.22,1966,10
411,NC,NORTH CAROLINA,HEPATITIS A,8,0.16,1966,10
412,NE,NEBRASKA,HEPATITIS A,1,0.07,1966,10
413,NH,NEW HAMPSHIRE,HEPATITIS A,4,0.59,1966,10
414,NJ,NEW JERSEY,HEPATITIS A,24,0.35,1966,10
415,NM,NEW MEXICO,HEPATITIS A,9,0.89,1966,10
416,OH,OHIO,HEPATITIS A,45,0.44,1966,10
417,OR,OREGON,HEPATITIS A,5,0.25,1966,10
418,PA,PENNSYLVANIA,HEPATITIS A,35,0.3,1966,10
419,SC,SOUTH CAROLINA,HEPATITIS A,4,0.16,1966,10
420,TN,TENNESSEE,HEPATITIS A,28,0.73,1966,10
421,TX,TEXAS,HEPATITIS A,42,0.4,1966,10
